                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.8823,                 2.8419,                 1.8014,                0.37037,                0.30033,                0.22622,                0.11879,                 1.9918,                 2.8015,                 1.9601,              0.0096832,              0.0096832,              0.0096832
                     34,                  1.819,                 2.7537,                 1.7725,                 0.4272,                0.28027,                0.27432,                0.14519,                 1.8192,                 2.7601,                 1.8631,              0.0096733,              0.0096733,              0.0096733
                     35,                  1.825,                  2.667,                   1.76,                0.37865,                0.26903,                0.24851,                0.13186,                 1.9353,                 3.2869,                 1.9475,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.8347,                 2.6831,                 1.7753,                0.38661,                0.33233,                0.26654,                0.14157,                 1.8543,                 2.9331,                  1.855,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.7788,                  2.641,                 1.7569,                0.48496,                0.29688,                0.30546,                0.16242,                 1.8623,                 2.6716,                 1.8683,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.7974,                 2.5937,                 1.7352,                0.50974,                0.26538,                0.30696,                0.16428,                  1.826,                 2.5277,                 1.8519,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.8001,                 2.6088,                 1.7399,                0.34886,                0.27068,                0.22364,                0.11014,                 2.0033,                 3.0838,                 1.9908,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.7829,                 2.5901,                 1.7338,                0.40589,                0.34147,                0.29722,                0.16246,                 1.8265,                 2.9844,                 1.8013,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.8238,                 2.5942,                 1.7246,                 0.4938,                0.33528,                0.32821,                0.18832,                 1.8219,                 2.3858,                 1.7703,               0.009604,               0.009604,               0.009604
                     42,                 1.7833,                  2.534,                 1.7247,                0.45295,                0.32152,                0.31029,                0.15061,                 1.9148,                 2.5243,                 1.8833,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.7784,                 2.5872,                 1.7506,                0.42313,                0.28864,                0.28936,                0.13567,                 1.9515,                 2.6465,                 1.9936,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.7614,                 2.4874,                 1.7161,                0.43615,                0.32737,                0.31036,                0.15671,                  1.836,                 2.4997,                 1.8406,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.7506,                 2.5663,                 1.7104,                0.40742,                0.37877,                0.36489,                0.19858,                 1.7145,                 2.2989,                 1.7851,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.7832,                 2.5386,                  1.747,                0.44809,                0.35901,                0.33822,                0.18973,                  1.735,                 2.7601,                 1.7858,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.7951,                 2.5021,                 1.7362,                0.44875,                0.36935,                0.36872,                0.22259,                 1.7006,                 2.2166,                 1.7457,              0.0095446,              0.0095446,              0.0095446
                     48,                  1.739,                 2.3952,                 1.6918,                0.43921,                0.29286,                0.29539,                0.17293,                 1.8122,                 2.5333,                 1.8782,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.7171,                 2.3925,                 1.6948,                0.46874,                0.40626,                0.38805,                0.21834,                 1.6541,                 2.1883,                 1.7522,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.6638,                 2.3445,                 1.6559,                0.49035,                0.36897,                0.39033,                0.21326,                 1.6582,                 2.1707,                 1.7134,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.7204,                 2.3167,                  1.684,                 0.4565,                0.35156,                0.37989,                0.21435,                 1.6959,                 2.2493,                 1.7478,               0.009505,               0.009505,               0.009505
                     52,                 1.6948,                 2.3303,                 1.6634,                0.55568,                0.33188,                0.37615,                0.20753,                 1.7356,                 2.2913,                 1.7921,              0.0094951,              0.0094951,              0.0094951
                     53,                  1.723,                 2.3066,                 1.6743,                0.39729,                0.29655,                0.30516,                0.15252,                 1.9163,                  2.783,                 1.9513,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.6996,                 2.2942,                 1.6517,                0.36925,                0.42034,                0.39007,                 0.2208,                 1.7086,                 2.2605,                 1.7501,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.7116,                 2.2643,                 1.6598,                0.39664,                0.45583,                0.42596,                0.25313,                 1.6089,                 2.1061,                 1.6759,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.6542,                 2.1964,                   1.63,                0.54119,                0.40257,                0.41074,                 0.2478,                 1.6684,                 2.2062,                 1.7073,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.6713,                  2.205,                 1.6354,                0.45749,                 0.4767,                0.43569,                 0.2664,                 1.6963,                 2.0303,                 1.6939,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.6365,                 2.1982,                 1.6321,                0.57931,                0.43791,                0.45768,                0.26965,                 1.6145,                 1.9624,                 1.6753,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.6624,                  2.225,                 1.6343,                0.48601,                0.43718,                0.45274,                0.26654,                 1.5961,                 2.0765,                 1.6842,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.6893,                   2.25,                 1.6414,                0.52224,                0.47342,                0.46746,                0.27942,                 1.5836,                 1.9587,                 1.6508,              0.0094159,              0.0094159,              0.0094159
                     61,                  1.701,                 2.1624,                 1.6406,                0.58923,                0.44411,                0.47696,                0.28689,                 1.5816,                 1.9438,                 1.6624,               0.009406,               0.009406,               0.009406
                     62,                  1.654,                 2.1344,                 1.6095,                0.49663,                0.42304,                0.40337,                0.22873,                 1.6691,                  2.221,                 1.7376,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.6323,                 2.0874,                    1.6,                0.49451,                0.40951,                0.41055,                0.23932,                 1.6537,                 2.1149,                 1.7011,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.6126,                 2.1104,                 1.5812,                0.54427,                0.49596,                0.48784,                0.30215,                 1.5887,                 1.8709,                 1.6568,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.6139,                 2.0913,                 1.6071,                0.52506,                0.46621,                0.47386,                0.28149,                 1.6296,                 1.9972,                 1.6773,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.6454,                 2.0961,                 1.6148,                 0.5616,                0.49983,                0.52599,                0.32529,                 1.5356,                 1.7998,                 1.5957,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.5774,                 2.0431,                 1.5549,                0.61121,                0.47022,                0.51986,                0.31748,                 1.5434,                 1.8112,                 1.6205,              0.0093466,              0.0093466,              0.0093466
